0 1 2 
1 2 1 
2 1 2 
3 2 1 
4 1 2 
5 2 0 
6 0 2 
7 2 0 
8 0 2 
9 2 0 
10 0 2 
11 2 1 
12 1 1 
13 1 1 
14 1 1 
15 1 1 
16 1 1 
17 1 1 
18 1 1 
19 1 1 
20 1 1 
21 1 0 
22 0 1 
23 1 1 
24 1 2 
25 2 1 
26 1 2 
27 2 1 
28 1 2 
29 2 2 
30 2 2 
31 2 2 
32 2 2 
33 2 2 
34 2 2 
35 2 1 
36 1 2 
37 2 2 
38 2 2 
39 2 3 
40 3 2 
41 2 3 
42 3 2 
43 2 3 
44 3 2 
45 2 3 
46 3 2 
47 2 3 
48 3 2 
49 2 2 
50 2 3 
51 3 3 
52 3 3 
53 3 3 
54 3 3 
55 3 3 
56 3 3 
57 3 2 
58 2 3 
59 3 2 
60 2 3 
61 3 2 
62 2 2 
63 2 3 
64 3 2 
65 2 3 
66 3 2 
67 2 3 
68 3 3 
69 3 3 
70 3 3 
71 3 3 
72 3 3 
73 3 3 
74 3 3 
75 3 2 
76 2 3 
77 3 2 
78 2 3 
79 3 2 
80 2 3 
81 3 3 
82 3 3 
83 3 3 
84 3 3 
85 3 3 
86 3 2 
87 2 3 
88 3 2 
89 2 3 
90 3 2 
91 2 3 
92 3 2 
93 2 3 
94 3 2 
95 2 2 
96 2 2 
97 2 2 
98 2 2 
99 2 2 
100 2 2 
101 2 2 
102 2 2 
103 2 2 
104 2 2 
105 2 1 
106 1 2 
107 2 2 
108 2 2 
109 2 2 
110 2 2 
111 2 2 
112 2 2 
113 2 2 
114 2 2 
115 2 3 
116 3 2 
117 2 3 
118 3 2 
119 2 3 
120 3 2 
121 2 3 
122 3 2 
123 2 3 
124 3 2 
125 2 2 
126 2 2 
127 2 2 
128 2 2 
129 2 2 
130 2 3 
131 3 3 
132 3 3 
133 3 2 
134 2 3 
135 3 3 
136 3 3 
137 3 3 
138 3 3 
139 3 3 
140 3 2 
141 2 2 
142 2 2 
143 2 2 
144 2 1 
145 1 3 
146 3 1 
147 1 2 
148 2 1 
149 1 3 
150 3 1 
151 1 3 
152 3 0 
153 0 3 
154 3 1 
155 1 2 
156 2 2 
157 2 2 
158 2 2 
159 2 2 
160 2 2 
161 2 2 
162 2 2 
163 2 2 
164 2 2 
165 2 2 
166 2 2 
167 2 2 
168 2 2 
169 2 2 
170 2 2 
171 2 2 
172 2 2 
173 2 2 
174 2 2 
175 2 2 
176 2 2 
177 2 2 
178 2 2 
179 2 2 
180 2 2 
181 2 3 
182 3 2 
183 2 3 
184 3 2 
185 2 3 
186 3 2 
187 2 3 
188 3 2 
189 2 3 
190 3 2 
191 2 3 
192 3 2 
193 2 3 
194 3 2 
195 2 3 
196 3 2 
197 2 3 
198 3 2 
199 2 2 
200 2 2 
201 2 2 
202 2 2 
203 2 2 
204 2 2 
205 2 2 
206 2 2 
207 2 2 
208 2 2 
209 2 3 
210 3 2 
211 2 3 
212 3 2 
213 2 3 
214 3 2 
215 2 3 
216 3 2 
217 2 3 
218 3 2 
219 2 3 
220 3 2 
221 2 3 
222 3 2 
223 2 3 
224 3 2 
225 2 3 
226 3 2 
227 2 3 
228 3 2 
229 2 2 
230 2 2 
231 2 2 
232 2 2 
233 2 2 
234 2 2 
235 2 2 
236 2 2 
237 2 2 
238 2 2 
239 2 2 
240 2 2 
241 2 2 
242 2 2 
243 2 2 
244 2 2 
245 2 2 
246 2 2 
247 2 2 
248 2 2 
249 2 2 
250 2 2 
251 2 2 
252 2 2 
253 2 2 
254 2 3 
255 3 2 
256 2 3 
257 3 2 
258 2 3 
259 3 3 
260 3 3 
261 3 3 
262 3 3 
263 3 3 
264 3 2 
265 2 3 
266 3 2 
267 2 3 
268 3 2 
269 2 2 
270 2 2 
271 2 3 
272 3 2 
273 2 2 
274 2 2 
275 2 3 
276 3 2 
277 2 3 
278 3 2 
279 2 3 
280 3 3 
281 3 3 
282 3 2 
283 2 3 
284 3 3 
285 3 2 
286 2 3 
287 3 2 
288 2 3 
289 3 2 
290 2 3 
291 3 2 
292 2 2 
293 2 2 
294 2 3 
295 3 2 
296 2 3 
297 3 2 
298 2 3 
